Code,Area,Date,Municipality,Use,Stratum,Consumption
C0UELR1,U,2013-09-30,EL ROSARIO,Residential,1,51492.461
C0UELR1,U,2014-04-30,EL ROSARIO,Residential,1,51649.061
C0UELR1,U,2014-01-31,EL ROSARIO,Residential,1,51650.361
8UBARR2,U,2012-03-31,BARBACOAS,Residential,2,51655.843
8UBARC0,U,2013-05-31,BARBACOAS,Commercial,0,51697.788
8UBARR2,U,2013-09-30,BARBACOAS,Residential,2,52100.864
C0UELR1,U,2013-01-31,EL ROSARIO,Residential,1,52162.554
0RUROBR1,U,2013-02-28,ROBERTO PAYAN,Residential Sub,1,52373.2
8RBARR1,R,2015-11-30,BARBACOAS,Residential,1,52674.616
C0UELR1,U,2014-06-30,EL ROSARIO,Residential,1,52909.901
0RUROBR1,U,2011-12-31,ROBERTO PAYAN,Residential Sub,1,53006.216
C0UELR1,U,2014-10-31,EL ROSARIO,Residential,1,53155.52
8UBARR2,U,2013-07-31,BARBACOAS,Residential,2,53222.082
C0UELR1,U,2012-07-31,EL ROSARIO,Residential,1,53396.271
C0UELR1,U,2015-04-30,EL ROSARIO,Residential,1,53468.745
C0UPOLR1,U,2011-02-28,POLICARPA,Residential,1,53724.561
0RUROBR1,U,2012-02-29,ROBERTO PAYAN,Residential Sub,1,54507.587
C0UPOLR1,U,2012-01-31,POLICARPA,Residential,1,54609.084
C0UELR1,U,2014-03-31,EL ROSARIO,Residential,1,54652.823
C0UELR1,U,2012-04-30,EL ROSARIO,Residential,1,54653.865
0RUROBR1,U,2012-04-30,ROBERTO PAYAN,Residential Sub,1,54971.618
8UBARR2,U,2013-08-31,BARBACOAS,Residential,2,55045.142
C0UELR1,U,2014-08-31,EL ROSARIO,Residential,1,55196.387
C0UPOLR1,U,2010-12-31,POLICARPA,Residential,1,55350.307
C0UELR1,U,2013-02-28,EL ROSARIO,Residential,1,55461.991
C0UELR1,U,2014-05-31,EL ROSARIO,Residential,1,55471.752
8RBARR1,R,2013-11-30,BARBACOAS,Residential,1,55501.792
C0UELR1,U,2012-02-29,EL ROSARIO,Residential,1,55612.867
8RBARR1,R,2015-12-31,BARBACOAS,Residential,1,56152.355
8UBARR2,U,2011-10-31,BARBACOAS,Residential,2,56419.968
C0UELR1,U,2014-09-30,EL ROSARIO,Residential,1,56551.593
C0UELR1,U,2011-12-31,EL ROSARIO,Residential,1,56649.169
C0UELR1,U,2014-07-31,EL ROSARIO,Residential,1,56781.135
0MUMAGR1,U,2015-09-30,MAGUI,Residential Sub,1,56829.276
C4RLEIR1,R,2013-03-31,LEIVA,Residential,1,57287.466
C0UPOLR1,U,2015-04-30,POLICARPA,Residential,1,57345.293
8UBARC0,U,2013-08-31,BARBACOAS,Commercial,0,57512.59
C0UELR1,U,2011-09-30,EL ROSARIO,Residential,1,57527.636
8UBARC0,U,2012-12-31,BARBACOAS,Commercial,0,57567.011
C0UELR1,U,2012-01-31,EL ROSARIO,Residential,1,57711.089
C0UELR1,U,2012-05-31,EL ROSARIO,Residential,1,57768.03
C0UPOLR1,U,2016-05-31,POLICARPA,Residential,1,57869.726
8UBARC0,U,2013-07-31,BARBACOAS,Commercial,0,57874.145
C0UPOLR1,U,2015-07-31,POLICARPA,Residential,1,57939.579
C0UELR1,U,2016-05-31,EL ROSARIO,Residential,1,58021.76
0RUROBR1,U,2013-04-30,ROBERTO PAYAN,Residential Sub,1,58082.774
8UBARC0,U,2012-11-30,BARBACOAS,Commercial,0,58122.317
C0UELR1,U,2012-06-30,EL ROSARIO,Residential,1,58393.591
8UBARR2,U,2012-05-31,BARBACOAS,Residential,2,58664.647
C4RLEIR1,R,2013-06-30,LEIVA,Residential,1,58674.203
C0UPOLR1,U,2011-10-31,POLICARPA,Residential,1,58744.152
C0UPOLR1,U,2015-11-30,POLICARPA,Residential,1,58918.87
0RUROBR1,U,2011-11-30,ROBERTO PAYAN,Residential Sub,1,58919.96
C4RLEIR1,R,2012-11-30,LEIVA,Residential,1,59019.849
C0UELR1,U,2015-10-31,EL ROSARIO,Residential,1,59085.37
0RUROBR1,U,2012-01-31,ROBERTO PAYAN,Residential Sub,1,59344.927
C0UPOLR1,U,2011-03-31,POLICARPA,Residential,1,59361.979
8UBARR2,U,2013-01-31,BARBACOAS,Residential,2,59395.284
C0UELR1,U,2015-12-31,EL ROSARIO,Residential,1,59510.018
C0UPOLR1,U,2015-06-30,POLICARPA,Residential,1,59512.018
0RUROBR1,U,2011-08-31,ROBERTO PAYAN,Residential Sub,1,59623.056
8UBARR2,U,2011-04-30,BARBACOAS,Residential,2,59680.465
C4RLEIR1,R,2010-12-31,LEIVA,Residential,1,59726.682
C0UPOLR1,U,2015-05-31,POLICARPA,Residential,1,59924.37
C0UELR1,U,2015-01-31,EL ROSARIO,Residential,1,60059.706
C0UELR1,U,2015-03-31,EL ROSARIO,Residential,1,60080.883
8UBARR2,U,2011-03-31,BARBACOAS,Residential,2,60108.171
0MUMAGR1,U,2015-12-31,MAGUI,Residential Sub,1,60182.541
8UBARR2,U,2011-05-31,BARBACOAS,Residential,2,60306.254
C4RLEIR1,R,2011-03-31,LEIVA,Residential,1,60319.169
C4RLEIR1,R,2013-12-31,LEIVA,Residential,1,60333.444
C0UPOLR1,U,2015-12-31,POLICARPA,Residential,1,60521.44
8UBARR2,U,2011-08-31,BARBACOAS,Residential,2,60735.606
8UBARR2,U,2011-07-31,BARBACOAS,Residential,2,60803.023
C0UPOLR1,U,2011-06-30,POLICARPA,Residential,1,60849.45
C0UPOLR1,U,2015-08-31,POLICARPA,Residential,1,60934.409
C0UELR1,U,2011-11-30,EL ROSARIO,Residential,1,61024.655
C0UPOLR1,U,2011-07-31,POLICARPA,Residential,1,61177.032
0MUMAGR1,U,2015-10-31,MAGUI,Residential Sub,1,61237.978
8UBARR2,U,2011-09-30,BARBACOAS,Residential,2,61281.863
8RBARR1,R,2014-02-28,BARBACOAS,Residential,1,61501.118
C0UELR1,U,2014-12-31,EL ROSARIO,Residential,1,61615.213
8UBARC0,U,2013-09-30,BARBACOAS,Commercial,0,61766.083
C0UPOLR1,U,2016-04-30,POLICARPA,Residential,1,61786.259
C0UPOLR1,U,2015-09-30,POLICARPA,Residential,1,61810.31
C4RLEIR1,R,2013-05-31,LEIVA,Residential,1,61844.588
C0UPOLR1,U,2016-01-31,POLICARPA,Residential,1,61875.479
8UBARR2,U,2012-06-30,BARBACOAS,Residential,2,61945.45
8UBARR2,U,2012-09-30,BARBACOAS,Residential,2,62040.491
C0UELR1,U,2015-07-31,EL ROSARIO,Residential,1,62065.106
8UBARC0,U,2012-10-31,BARBACOAS,Commercial,0,62134.446
8RBARR1,R,2015-10-31,BARBACOAS,Residential,1,62139.635
8RBARR1,R,2013-10-31,BARBACOAS,Residential,1,62241.722
C4RLEIR1,R,2011-01-31,LEIVA,Residential,1,62243.074
C0UPOLR1,U,2015-02-28,POLICARPA,Residential,1,62277.286
C0UPOLR1,U,2011-05-31,POLICARPA,Residential,1,62290.45
C0UELR1,U,2016-04-30,EL ROSARIO,Residential,1,62617.502
C0UPOLR1,U,2015-01-31,POLICARPA,Residential,1,62670.491
C0UPOLR1,U,2012-12-31,POLICARPA,Residential,1,62713.226
0RUROBR1,U,2012-09-30,ROBERTO PAYAN,Residential Sub,1,62820.9
C0UELR1,U,2015-11-30,EL ROSARIO,Residential,1,62847.243
0MUMAGR1,U,2015-11-30,MAGUI,Residential Sub,1,62850.935
8UBARR2,U,2012-10-31,BARBACOAS,Residential,2,62858.565
8UBARR2,U,2012-04-30,BARBACOAS,Residential,2,62899.859
C0UPOLR1,U,2016-03-31,POLICARPA,Residential,1,63173.68
0MUMAGR1,U,2016-02-29,MAGUI,Residential Sub,1,63358.011
0RUROBR1,U,2013-01-31,ROBERTO PAYAN,Residential Sub,1,63368.305
C0UELR1,U,2015-05-31,EL ROSARIO,Residential,1,63457.993
C0UELR1,U,2016-01-31,EL ROSARIO,Residential,1,63487.512
8UBARR2,U,2011-12-31,BARBACOAS,Residential,2,63497.675
C4RLEIR1,R,2013-07-31,LEIVA,Residential,1,63550.565
C0UELR1,U,2015-09-30,EL ROSARIO,Residential,1,63582.907
C0UPOLR1,U,2011-01-31,POLICARPA,Residential,1,63918.619
C0UPOLR1,U,2016-02-29,POLICARPA,Residential,1,64053.252
C4RLEIR1,R,2015-01-31,LEIVA,Residential,1,64098.877
8RBARR1,R,2015-09-30,BARBACOAS,Residential,1,64187.235
0MUMAGR1,U,2016-03-31,MAGUI,Residential Sub,1,64376.181
C4RLEIR1,R,2013-10-31,LEIVA,Residential,1,64464.029
C0UPOLR1,U,2011-08-31,POLICARPA,Residential,1,64490.176
C4RLEIR1,R,2013-01-31,LEIVA,Residential,1,64857.073
C0UELR1,U,2016-03-31,EL ROSARIO,Residential,1,65243.817
C4RLEIR1,R,2014-05-31,LEIVA,Residential,1,65370.402
C4RLEIR1,R,2013-08-31,LEIVA,Residential,1,65415.658
C4RLEIR1,R,2012-12-31,LEIVA,Residential,1,65484.867
C0UELR1,U,2015-06-30,EL ROSARIO,Residential,1,65490.413
8UBARR2,U,2011-11-30,BARBACOAS,Residential,2,65516.498
C4RLEIR1,R,2014-01-31,LEIVA,Residential,1,65583.522
C4RLEIR1,R,2012-10-31,LEIVA,Residential,1,65661.823
C4RLEIR1,R,2012-08-31,LEIVA,Residential,1,65927.436
8RBARR1,R,2014-07-31,BARBACOAS,Residential,1,66036.271
C4RLEIR1,R,2013-09-30,LEIVA,Residential,1,66046.493
C0UELR1,U,2015-02-28,EL ROSARIO,Residential,1,66112.761
C4RLEIR1,R,2014-06-30,LEIVA,Residential,1,66179.203
C4RLEIR1,R,2014-04-30,LEIVA,Residential,1,66293.521
C0UPOLR1,U,2014-04-30,POLICARPA,Residential,1,66497.964
C0UPOLR1,U,2015-03-31,POLICARPA,Residential,1,66527.622
8UBARR2,U,2012-02-29,BARBACOAS,Residential,2,66530.463
C0UPOLR1,U,2012-04-30,POLICARPA,Residential,1,66638.42
C0UELR1,U,2015-08-31,EL ROSARIO,Residential,1,66969.196
0RUROBR1,U,2012-10-31,ROBERTO PAYAN,Residential Sub,1,67087.142
8UBARR2,U,2011-06-30,BARBACOAS,Residential,2,67157.615
0RUROBR1,U,2012-11-30,ROBERTO PAYAN,Residential Sub,1,67183.099
C0UELR1,U,2016-02-29,EL ROSARIO,Residential,1,67436.155
C0UPOLR1,U,2013-10-31,POLICARPA,Residential,1,67442.164
8RBARR1,R,2015-03-31,BARBACOAS,Residential,1,67491.187
C4RLEIR1,R,2013-11-30,LEIVA,Residential,1,67707.898
C0UELR1,U,2014-11-30,EL ROSARIO,Residential,1,67844.875
C4RLEIR1,R,2013-04-30,LEIVA,Residential,1,67854.891
8UBARR2,U,2010-12-31,BARBACOAS,Residential,2,67905.057
8RBARR1,R,2014-03-31,BARBACOAS,Residential,1,68390.122
8RBARR1,R,2015-08-31,BARBACOAS,Residential,1,68408.85
C0UPOLR1,U,2011-12-31,POLICARPA,Residential,1,68633.709
C0UPOLR1,U,2015-10-31,POLICARPA,Residential,1,68793.529
C4RLEIR1,R,2014-03-31,LEIVA,Residential,1,68855.829
C0UPOLR1,U,2012-05-31,POLICARPA,Residential,1,69004.862
C0UPOLR1,U,2014-02-28,POLICARPA,Residential,1,69128.614
8UBARR2,U,2011-02-28,BARBACOAS,Residential,2,69155.903
C4RLEIR1,R,2012-07-31,LEIVA,Residential,1,69358.014
C4RLEIR1,R,2014-02-28,LEIVA,Residential,1,69959.996
C4RLEIR1,R,2013-02-28,LEIVA,Residential,1,70047.48
C4RLEIR1,R,2014-08-31,LEIVA,Residential,1,70101.577
8UBARR2,U,2012-01-31,BARBACOAS,Residential,2,70196.539
C0UPOLR1,U,2011-11-30,POLICARPA,Residential,1,70406.894
C4RLEIR1,R,2011-02-28,LEIVA,Residential,1,70419.269
C0UPOLR1,U,2014-01-31,POLICARPA,Residential,1,70425.937
C4RLEIR1,R,2012-09-30,LEIVA,Residential,1,70531.6
C0UPOLR1,U,2013-12-31,POLICARPA,Residential,1,71194.254
8UBARR2,U,2011-01-31,BARBACOAS,Residential,2,71327.003
C0UPOLR1,U,2012-02-29,POLICARPA,Residential,1,71333.898
8RBARR1,R,2014-06-30,BARBACOAS,Residential,1,71500.317
C0UPOLR1,U,2011-09-30,POLICARPA,Residential,1,71541.778
C4RLEIR1,R,2014-12-31,LEIVA,Residential,1,71562.235
C4RLEIR1,R,2014-10-31,LEIVA,Residential,1,71623.085
8RBARR1,R,2014-08-31,BARBACOAS,Residential,1,71626.628
C0UPOLR1,U,2013-01-31,POLICARPA,Residential,1,71674.188
C4RLEIR1,R,2012-06-30,LEIVA,Residential,1,71746.48
C4RLEIR1,R,2012-03-31,LEIVA,Residential,1,71963.342
C4RLEIR1,R,2011-10-31,LEIVA,Residential,1,72317.205
C0UPOLR1,U,2013-06-30,POLICARPA,Residential,1,72444.434
C4RLEIR1,R,2014-07-31,LEIVA,Residential,1,72560.633
C0UPOLR1,U,2013-07-31,POLICARPA,Residential,1,72597.884
